ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU1412					1					4.870646766	18.50661626		2.212429379	
OTU1413										9.741293532	11.10396975	3.054602184	2.212429379	3.625925926
OTU1416					1					14.6119403	3.701323251		2.212429379	3.625925926
OTU1419		2.935532234	1.009278351		4					4.870646766		3.054602184		3.625925926
OTU14198		5.871064468	1.009278351	3.059375	3				3.122807018		3.701323251			
OTU14211			2.018556701		2				3.122807018				2.212429379	
OTU1423	19.65863454	2.935532234	2.018556701		1	4.601645123		10.56950067		4.870646766			2.212429379	7.251851852
OTU1425					1		3.007680492			29.2238806	3.701323251		2.212429379	
OTU1427			1.009278351		1			2.642375169		4.870646766				
OTU14293			1.009278351		1	6.902467685								3.625925926
OTU14297					1	2.300822562		5.284750337						14.5037037
OTU14316				6.11875			3.007680492	2.642375169						3.625925926
OTU1433			1.009278351	3.059375	4	2.300822562				9.741293532	3.701323251		8.849717514	
OTU14345		5.871064468				2.300822562	3.007680492				7.402646503			3.625925926
OTU1435										4.870646766	7.402646503	3.054602184		3.625925926
OTU1438	3.931726908	2.935532234	1.009278351		1		3.007680492			4.870646766				3.625925926
OTU1439			1.009278351							4.870646766	7.402646503			3.625925926
OTU14425						2.300822562					3.701323251		2.212429379	3.625925926
OTU14445					1					4.870646766			4.424858757	3.625925926
OTU14476	3.931726908		1.009278351		1									3.625925926
OTU1457										29.2238806	22.20793951	3.054602184	2.212429379	
OTU1469			1.009278351		5				3.122807018	24.35323383				
OTU147	3.931726908		1.009278351		1				3.122807018	34.09452736	29.61058601			3.625925926
OTU1470										14.6119403	25.90926276	9.163806552	8.849717514	3.625925926
OTU14703		2.935532234		3.059375	4	2.300822562								
OTU1474				3.059375						9.741293532	3.701323251	3.054602184		
OTU14751		5.871064468	2.018556701		3	2.300822562								
OTU1484										9.741293532	22.20793951	3.054602184		3.625925926
OTU14872		2.935532234		3.059375	1				3.122807018					
OTU1493	3.931726908				1			2.642375169		4.870646766				
OTU1495		2.935532234	2.018556701	3.059375						4.870646766	3.701323251			
OTU1496	3.931726908		5.046391753	6.11875						4.870646766	11.10396975	6.109204368	2.212429379	
OTU1498	3.931726908	2.935532234	2.018556701		1		6.015360983	2.642375169		19.48258706	11.10396975	9.163806552	19.91186441	7.251851852
OTU15036					2	2.300822562		2.642375169					2.212429379	
OTU1506	3.931726908	2.935532234	2.018556701				3.007680492		3.122807018	4.870646766		6.109204368		
OTU1509		2.935532234	1.009278351	3.059375	2					4.870646766		6.109204368	2.212429379	
OTU15096	3.931726908	2.935532234				2.300822562	3.007680492		3.122807018					
OTU1510	3.931726908	20.54872564	3.027835052	6.11875	8	11.50411281	21.05376344	5.284750337	9.368421053				2.212429379	
OTU1511	3.931726908	2.935532234			1				3.122807018					
OTU1513			4.037113402	15.296875	9	2.300822562								
OTU152						2.300822562	6.015360983	26.42375169	6.245614035	14.6119403		3.054602184		
OTU1522		17.6131934	5.046391753	3.059375	7	4.601645123			3.122807018			9.163806552	2.212429379	
OTU15242	27.52208835				2		3.007680492	2.642375169						
OTU1527					1		3.007680492	5.284750337	3.122807018					
OTU1528					1			7.927125506	6.245614035				2.212429379	
OTU1533	7.863453815	14.67766117	1.009278351	6.11875	4		9.023041475							
OTU15360			1.009278351			2.300822562	6.015360983							3.625925926
OTU1537			5.046391753		2			23.78137652	15.61403509			9.163806552	2.212429379	
OTU1539			2.018556701		2		3.007680492	2.642375169						
OTU15394			2.018556701			2.300822562					7.402646503	6.109204368		
OTU1540		2.935532234						2.642375169	3.122807018			3.054602184		
OTU15416	3.931726908		1.009278351			2.300822562	3.007680492							
OTU15422		5.871064468		9.178125								6.109204368	2.212429379	
OTU15445			1.009278351	3.059375	1							3.054602184		
